Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/22/2021,AQS,291370001,1,2.1,ppb,2,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
1/23/2021,AQS,291370001,1,6.3,ppb,6,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
1/24/2021,AQS,291370001,1,4.2,ppb,4,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
1/25/2021,AQS,291370001,1,4.6,ppb,4,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
1/26/2021,AQS,291370001,1,3.5,ppb,3,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
1/27/2021,AQS,291370001,1,4,ppb,4,MTSP,22,92,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
1/28/2021,AQS,291370001,1,11.8,ppb,10,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
1/29/2021,AQS,291370001,1,10,ppb,9,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
1/30/2021,AQS,291370001,1,5.4,ppb,5,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
1/31/2021,AQS,291370001,1,4.1,ppb,4,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
2/1/2021,AQS,291370001,1,2.8,ppb,2,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
2/2/2021,AQS,291370001,1,7.3,ppb,7,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
2/3/2021,AQS,291370001,1,6.4,ppb,6,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
2/4/2021,AQS,291370001,1,3.7,ppb,3,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
2/5/2021,AQS,291370001,1,4.5,ppb,4,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
2/6/2021,AQS,291370001,1,2.9,ppb,2,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
2/7/2021,AQS,291370001,1,3,ppb,3,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
2/8/2021,AQS,291370001,1,5.4,ppb,5,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
2/9/2021,AQS,291370001,1,6.8,ppb,6,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
2/26/2021,AQS,291370001,1,5.7,ppb,5,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
2/27/2021,AQS,291370001,1,4.8,ppb,4,MTSP,24,100,42602,Nitrogen dioxide (NO2),,,29,Missouri,137,Monroe,39.47497615,-91.78899098
