Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/1/2021,AQS,290950042,1,0.2,ppm,2,"Blue Ridge, I-70",2,8,42101,Carbon monoxide,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/1/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,19,79,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/2/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/3/2021,AQS,295100085,1,0.5,ppm,6,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/4/2021,AQS,295100085,1,0.5,ppm,6,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/5/2021,AQS,295100085,1,0.8,ppm,9,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/6/2021,AQS,295100085,1,0.9,ppm,10,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/7/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/8/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/9/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/10/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,16,67,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/11/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/12/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/13/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/14/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/15/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/16/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/17/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/18/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/19/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/20/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/21/2021,AQS,295100085,1,0.5,ppm,6,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/22/2021,AQS,295100085,1,0.5,ppm,6,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/23/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/24/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/25/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/26/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/27/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/28/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/29/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/30/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/31/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/1/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/2/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/3/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/4/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/5/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/6/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/7/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
